name,lat,lon,time,count,diff
TD Garden/North Station,42.366261,-71.062103,2012-05-05 09:00,7.79310344828,-1.79310344828
TD Garden/North Station,42.366261,-71.062103,2012-05-05 10:00,11.5517241379,-5.55172413793
TD Garden/North Station,42.366261,-71.062103,2012-05-05 11:00,12.4827586207,2.51724137931
TD Garden/North Station,42.366261,-71.062103,2012-05-05 12:00,8.89655172414,2.10344827586
TD Garden/North Station,42.366261,-71.062103,2012-05-05 13:00,9.8275862069,1.1724137931
TD Garden/North Station,42.366261,-71.062103,2012-05-05 14:00,9.8275862069,-0.827586206897
TD Garden/North Station,42.366261,-71.062103,2012-05-05 15:00,15.5666666667,-2.56666666667
TD Garden/North Station,42.366261,-71.062103,2012-05-05 16:00,12.4827586207,-4.48275862069
TD Garden/North Station,42.366261,-71.062103,2012-05-05 17:00,14.7333333333,3.26666666667
TD Garden/North Station,42.366261,-71.062103,2012-05-05 18:00,17.3103448276,-10.3103448276
TD Garden/North Station,42.366261,-71.062103,2012-05-05 19:00,15.6551724138,-0.655172413793
TD Garden/North Station,42.366261,-71.062103,2012-05-05 20:00,16.1724137931,-4.1724137931
TD Garden/North Station,42.366261,-71.062103,2012-05-05 21:00,15.5333333333,-8.53333333333
TD Garden/North Station,42.366261,-71.062103,2012-05-05 22:00,30.2068965517,-4.20689655172
TD Garden/North Station,42.366261,-71.062103,2012-05-05 23:00,42.3666666667,-1.36666666667
TD Garden/North Station,42.366261,-71.062103,2012-05-06 00:00,61.1,25.9
South Station,42.351818,-71.055138,2012-05-01 00:00,31.6333333333,0.366666666667
South Station,42.351818,-71.055138,2012-05-01 01:00,19.1935483871,-10.1935483871
South Station,42.351818,-71.055138,2012-05-01 02:00,7.32142857143,-3.32142857143
South Station,42.351818,-71.055138,2012-05-01 03:00,8.06666666667,2.93333333333
South Station,42.351818,-71.055138,2012-05-01 04:00,8.35714285714,-1.35714285714
South Station,42.351818,-71.055138,2012-05-01 05:00,4.89285714286,3.10714285714
South Station,42.351818,-71.055138,2012-05-01 06:00,12.2666666667,4.73333333333
South Station,42.351818,-71.055138,2012-05-01 07:00,20.9333333333,-0.933333333333
South Station,42.351818,-71.055138,2012-05-01 08:00,35.7096774194,12.2903225806
South Station,42.351818,-71.055138,2012-05-01 09:00,32.2903225806,12.7096774194
South Station,42.351818,-71.055138,2012-05-01 10:00,42.1935483871,8.8064516129
South Station,42.351818,-71.055138,2012-05-01 11:00,52.9677419355,18.0322580645
South Station,42.351818,-71.055138,2012-05-01 12:00,52.4516129032,10.5483870968
South Station,42.351818,-71.055138,2012-05-01 13:00,58.6,-0.6
South Station,42.351818,-71.055138,2012-05-01 14:00,45.8387096774,14.1612903226
South Station,42.351818,-71.055138,2012-05-01 15:00,57.0967741935,11.9032258065
South Station,42.351818,-71.055138,2012-05-01 16:00,62.1290322581,8.87096774194
South Station,42.351818,-71.055138,2012-05-01 17:00,59.5161290323,13.4838709677
South Station,42.351818,-71.055138,2012-05-01 18:00,64.064516129,27.935483871
South Station,42.351818,-71.055138,2012-05-01 19:00,55.5161290323,28.4838709677
South Station,42.351818,-71.055138,2012-05-01 20:00,57.6129032258,18.3870967742
South Station,42.351818,-71.055138,2012-05-01 21:00,45.2258064516,-9.22580645161
South Station,42.351818,-71.055138,2012-05-01 22:00,46.2666666667,10.7333333333
South Station,42.351818,-71.055138,2012-05-01 23:00,29.3548387097,-0.354838709677
South Station,42.351818,-71.055138,2012-05-02 00:00,30.0,-2.0
South Station,42.351818,-71.055138,2012-05-02 01:00,15.2666666667,-3.26666666667
South Station,42.351818,-71.055138,2012-05-02 02:00,8.6,-3.6
South Station,42.351818,-71.055138,2012-05-02 03:00,7.92857142857,0.0714285714286
South Station,42.351818,-71.055138,2012-05-02 04:00,6.31034482759,-4.31034482759
South Station,42.351818,-71.055138,2012-05-02 05:00,6.27586206897,3.72413793103
South Station,42.351818,-71.055138,2012-05-02 06:00,10.3666666667,-0.366666666667
South Station,42.351818,-71.055138,2012-05-02 07:00,19.5806451613,-4.58064516129
South Station,42.351818,-71.055138,2012-05-02 08:00,36.1666666667,6.83333333333
South Station,42.351818,-71.055138,2012-05-02 09:00,33.6,5.4
South Station,42.351818,-71.055138,2012-05-02 10:00,45.3448275862,-1.34482758621
South Station,42.351818,-71.055138,2012-05-02 11:00,58.9333333333,4.06666666667
South Station,42.351818,-71.055138,2012-05-02 12:00,51.3666666667,-3.36666666667
South Station,42.351818,-71.055138,2012-05-02 13:00,56.1,-1.1
South Station,42.351818,-71.055138,2012-05-02 14:00,43.0,1.0
South Station,42.351818,-71.055138,2012-05-02 15:00,62.1,3.9
South Station,42.351818,-71.055138,2012-05-02 16:00,67.1333333333,10.8666666667
South Station,42.351818,-71.055138,2012-05-02 17:00,55.7,9.3
South Station,42.351818,-71.055138,2012-05-02 18:00,62.0666666667,14.9333333333
South Station,42.351818,-71.055138,2012-05-02 19:00,60.8,-4.8
South Station,42.351818,-71.055138,2012-05-02 20:00,64.7333333333,4.26666666667
South Station,42.351818,-71.055138,2012-05-02 21:00,51.3333333333,-1.33333333333
South Station,42.351818,-71.055138,2012-05-02 22:00,54.0,9.0
South Station,42.351818,-71.055138,2012-05-02 23:00,31.0666666667,-0.0666666666667
South Station,42.351818,-71.055138,2012-05-03 00:00,30.1666666667,-4.16666666667
South Station,42.351818,-71.055138,2012-05-03 01:00,17.1666666667,-4.16666666667
South Station,42.351818,-71.055138,2012-05-03 02:00,10.0689655172,-3.06896551724
South Station,42.351818,-71.055138,2012-05-03 03:00,6.46666666667,3.53333333333
South Station,42.351818,-71.055138,2012-05-03 04:00,7.25,-3.25
South Station,42.351818,-71.055138,2012-05-03 05:00,5.32142857143,-2.32142857143
South Station,42.351818,-71.055138,2012-05-03 06:00,12.2068965517,0.793103448276
South Station,42.351818,-71.055138,2012-05-03 07:00,20.1333333333,0.866666666667
South Station,42.351818,-71.055138,2012-05-03 08:00,34.3666666667,3.63333333333
South Station,42.351818,-71.055138,2012-05-03 09:00,34.2,-8.2
